species,n
Capsella bursa-pastoris (L.) Medik.,6
Carex aquatilis var. aquatilis,6
Carex deflexa Hornem.,6
Carex hoodii Boott,6
Carex podocarpa R.Br. ex Richardson,6
Carex scirpoidea var. stenochlaena Holm,6
Castilleja parviflora Bong.,6
Epilobium anagallidifolium Lam.,6
Eriophorum brachyantherum Trautv. & C.A.Mey.,6
Erythranthe lewisii (Pursh) G.L.Nesom & N.S.Fraga,6
Festuca campestris Rydb.,6
Gaillardia aristata Pursh,6
Gentianella amarella (L.) Börner,6
Gentianella propinqua (Richardson) J.M.Gillett,6
Gymnocarpium dryopteris (L.) Newman,6
"Huperzia continentalis Testo, A.Haines & A.V.Gilman",6
Linnaea borealis L.,6
Lupinus lyallii A.Gray,6
Micranthes odontoloma (Piper) A.Heller,6
Osmorhiza berteroi DC.,6
Poa fendleriana (Steud.) Vasey,6
Poa paucispicula Scribn. & Merr.,6
Salix commutata Bebb,6
Saxifraga mertensiana Bong.,6
Taraxacum alaskanum Rydb.,6
Veratrum viride var. eschscholzianum (Roemer & Schultes) Breitung,6
Agoseris glauca var. dasycephala (Torr. & A.Gray) Jeps.,5
Arabidopsis lyrata subsp. kamchatica (Fisch. ex DC.) O'Kane & Al-Shehbaz,5
Arctostaphylos rubra (Rehder & E.H.Wilson) Fernald,5
Boechera lemmonii (S.Watson) W.A.Weber,5
Botrychium lunaria (L.) Sw.,5
Bromus carinatus Hook. & Arn.,5
Carex tahoensis Smiley,5
Cornus canadensis L.,5
Diphasiastrum sitchense (Rupr.) Holub,5
Dodecatheon conjugens Greene,5
Draba aurea M.Vahl ex Hornem.,5
Dryas drummondii Richardson ex Hook.,5
Erigeron speciosus (Lindl.) DC.,5
Eriogonum umbellatum var. majus Hook.,5
Festuca saximontana var. saximontana,5
Hedysarum alpinum L.,5
Huperzia selago subsp. selago,5
Kalmia microphylla var. microphylla,5
Lewisia pygmaea (Gray) B.L.Rob.,5
Lupinus arcticus S.Watson,5
Pedicularis ornithorhyncha Benth.,5
Physaria didymocarpa (Hook.) A.Gray,5
Salix vestita Pursh,5
Antennaria microphylla Rydb.,4
Antennaria umbrinella Rydb.,4
Anthoxanthum nitens (Weber) Y.Schouten & Veldkamp,4
Arnica L.,4
Arnica lanceolata subsp. prima (Maguire) Strother & S.J.Wolf,4
Arnica parryi A.Gray,4
Artemisia frigida Willd.,4
Astragalus miser Douglas,4
Botrychium minganense Vict.,4
Calamagrostis purpurea (Trin.) Trin.,4
Carex aquatilis Wahlenb.,4
Carex canescens subsp. canescens,4
Carex heteroneura var. heteroneura,4
Carex microptera Mack.,4
Carex preslii Steud.,4
Carex pyrenaica Wahlenb.,4
Castilleja purpurascens Greenman,4
Chamaenerion angustifolium subsp. angustifolium,4
Comarum palustre L.,4
Cystopteris fragilis var. fragilis,4
Epilobium L.,4
Fragaria virginiana subsp. platypetala (Rydb.) A.E.Murray,4
Fritillaria affinis (Schult. & Schult.f.) Sealy,4
Gentiana prostrata Haenke,4
Gentianella amarella subsp. amarella,4
Geranium richardsonii Fisch. & Trautv.,4
Geum triflorum var. ciliatum (Pursh) Fassett,4
Juncus mertensianus Bong.,4
Juncus parryi Engelm.,4
Lonicera involucrata var. involucrata,4
Luzula parviflora (Ehrh.) Desv.,4
Pedicularis groenlandica Retz.,4
Pedicularis sudetica Willd.,4
Penstemon fruticosus var. scouleri (Lindl.) Cronquist,4
Pinguicula vulgaris L.,4
Platanthera dilatata var. leucostachys (Lindl.) Hultén,4
Poa glauca subsp. rupicola (Nash) W.A.Weber,4
Polygonum douglasii Greene,4
Potentilla gracilis Douglas,4
Potentilla indica (Andr.) Wolf,4
Prosartes trachycarpa S.Watson,4
Prunus emarginata (Douglas ex Hook.) Walp.,4
Pyrola chlorantha Sw.,4
Ranunculus uncinatus D.Don,4
Rhinanthus minor L.,4
Rhodiola integrifolia Raf.,4
Rhododendron columbianum (Piper) Harmaja,4
Rhododendron groenlandicum (Oeder) Kron & Judd,4
Ribes viscosissimum Pursh,4
Rorippa curvipes Greene,4
Rubus pedatus Sm.,4
Salix L.,4
Salix hookeriana Barratt ex Hook.,4
Stellaria calycantha (Ledeb.) Bong.,4
Streptopus amplexifolius (L.) DC.,4
Taraxacum Weber,4
Trifolium repens L.,4
Tsuga mertensiana (Bong.) Carrière,4
Vaccinium deliciosum Piper,4
Vaccinium membranaceum Douglas ex Hook.,4
Vaccinium myrtillus L.,4
Vaccinium parvifolium Sm.,4
Valeriana dioica var. sylvatica (Sol. ex Richards.) S.Watson,4
Veronica americana (Raf.) Schwein. ex Benth.,4
Actaea rubra subsp. arguta (Nutt.) Hultén,3
Agrostis humilis Vasey,3
Agrostis scabra Willd.,3
Amelanchier alnifolia (Nutt.) Nutt. ex M.Roem.,3
Anthoxanthum monticola (Bigelow) Veldkamp,3
Aquilegia formosa Fisch. ex DC.,3
Aquilegia formosa var. formosa,3
Botrychium crenulatum Wagner,3
Braya humilis (C.A.Mey.) B.L.Rob.,3
Campanula uniflora Gorter,3
Cardamine umbellata Greene,3
Carex L.,3
Carex enanderi Hultén,3
Carex incurviformis Mack.,3
Carex plectocarpa F.J.Herm.,3
Cassiope tetragona subsp. saximontana (Small) Porsild,3
Castilleja septentrionalis Lindl.,3
Chamerion angustifolium subsp. angustifolium,3
Chrysosplenium tetrandrum (N.Lund) Th.Fr.,3
Corallorhiza trifida Châtel.,3
Cystopteris dickieana R.Sim,3
Draba borealis DC.,3
Draba cana Rydb.,3
Draba densifolia Nutt.,3
Draba lactea Adams,3
Draba macounii O.E.Schulz,3
Equisetum scirpoides Michx.,3
Equisetum variegatum subsp. alaskanum (A.A.Eaton) Hultén,3
Erigeron lanatus (A.Nels. & J.F.Macbr.) Hook.,3
Erigeron podolicus Besser,3
Eriocoma richardsonii (Link) Romasch.,3
Eriophorum scheuchzeri Hoppe,3
Eurybia sibirica subsp. sibirica,3
Gentianella amarella subsp. acuta (Michx.) Gillett,3
Hieracium scouleri Hook.,3
Juncus arcticus subsp. alaskanus Hultén,3
Juncus castaneus subsp. castaneus,3
Koenigia islandica L.,3
Leptarrhena pyrolifolia (D.Don) R.Br. ex Ser.,3
Luzula confusa Lindeb.,3
Luzula glabrata var. hitchcockii (Hämet-Ahti) Dorn,3
Micranthes lyallii subsp. hultenii (Calder & Savile) Elven & D.F.Murray,3
Micranthes lyallii subsp. lyallii,3
Micranthes tenuis (Wahlenb.) Small,3
Packera cana (Hook.) W.A.Weber & Á.Löve,3
Pedicularis contorta Benth.,3
Pedicularis labradorica Wirsing,3
Pedicularis racemosa Douglas ex Benth.,3
Penstemon albertinus Greene,3
Platanthera obtusata (Banks ex Pursh) Lindl.,3
Poa alpigena Lindm.,3
Poa angustifolia L.,3
Polygonum minimum S.Watson,3
Potentilla hyparctica Malte,3
Ranunculus hyperboreus subsp. hyperboreus,3
Ranunculus pygmaeus Wahlenb.,3
Rhododendron menziesii Craven,3
Sagina procumbens L.,3
Salix barrattiana Hook.,3
Senecio integerrimus var. exaltatus (Nutt.) Cronquist,3
Spiraea betulifolia Pall.,3
Veronica cusickii A.Gray,3
Actaea rubra (Aiton) Willd.,2
Agoseris glauca var. glauca,2
Agrostis canina L.,2
Agrostis thurberiana Hitchc.,2
Anaphalis margaritacea subsp. margaritacea,2
Aquilegia formosa Fisch.,2
Arabis nuttallii B.L.Rob.,2
Arabis pycnocarpa M.Hopkins,2
Arnica chamissonis Less.,2
Arnica fulgens Pursh,2
Arnica sororia Greene,2
